64.0,67.0,66.0,197.0
49.0,70.0,72.0,191.0
55.0,74.0,54.0,183.0
64.0,67.0,67.0,198.0
67.0,73.0,54.0,194.0
62.0,75.0,54.0,191.0
49.0,67.0,80.0,196.0
55.0,83.0,54.0,192.0
64.0,65.0,68.0,197.0
58.0,82.0,54.0,194.0
64.0,76.0,54.0,194.0
58.0,81.0,54.0,193.0
67.0,64.0,62.0,193.0
58.0,61.0,73.0,192.0
58.0,84.0,54.0,196.0
71.0,72.0,54.0,197.0
62.0,75.0,54.0,191.0
61.0,54.0,75.0,190.0
55.0,84.0,54.0,193.0
55.0,83.0,54.0,192.0
49.0,88.0,54.0,191.0
62.0,82.0,54.0,198.0
62.0,78.0,54.0,194.0
49.0,70.0,72.0,191.0
49.0,75.0,66.0,190.0
59.0,71.0,54.0,184.0
64.0,59.0,74.0,197.0
55.0,73.0,71.0,199.0
61.0,54.0,75.0,190.0
67.0,64.0,54.0,185.0
